type,memory,time
AClass,1694136,0.005498835018702916
APCUClass,1694136,0.0181658182825361
APCUPlain,100304,0.000714216913495745
APlain,100304,0.0005221026284354073
OClass,1694136,0.006010472774505615
OPLain,100304,0.0008253710610525948
WFAClass,1684136,0.004330047539302281
WFAPlain,86560,2.284560884748186E-5
defaultClass,1694136,0.01929897921425956
defaultPlain,100304,0.00078843321119036
